WBAN;YearMonthDay;Tmax;Tmin;Tavg;Depart;DewPoint;WetBulb;Heat;Cool;Sunrise;Sunset;CodeSum;Depth;Water1;SnowFall;PrecipTotal;StnPressure;SeaLevel;ResultSpeed;ResultDir;AvgSpeed;Max5Speed;Max5Dir;Max2Speed;Max2Dir
94846;20070507;83;47;65;10;41;54;0;0;441;1856;RA;0;M;0.0;  T;29.38;30.12;8.6;18;10.5;25;160;21;160
94846;20070508;82;54;68;12;58;62;0;3;439;1857;BR;0;M;0.0;0.00;29.29;30.03;2.7;11;5.8;23;90;15;100
94846;20070509;77;61;69;13;59;63;0;4;438;1858;BR HZ;0;M;0.0;0.13;29.21;29.94;3.9;9;6.2;25;60;15;70
94846;20070510;84;56;70;14;52;60;0;5;437;1859;BR;0;M;0.0;0.00;29.20;29.92;0.7;17;4.1;20;90;13;120
94846;20070511;70;51;61;4;42;51;4;0;436;1860; ;0;M;0.0;0.00;29.33;30.04;11.3;3;12.9;30;40;24;40
94846;20070512;64;46;55;-2;36;46;10;0;435;1901; ;0;M;0.0;0.00;29.49;30.20;12.4;3;12.9;31;60;21;30
94846;20070513;69;43;56;-2;33;46;9;0;434;1902; ;0;M;0.0;0.00;29.49;30.24;6.6;14;8.1;20;70;14;130
94846;20070514;90;56;73;15;47;59;0;8;433;1903; ;0;M;0.0;0.00;29.23;29.97;16.9;21;17.3;35;220;26;230
94846;20070515;80;57;69;11;56;61;0;4;432;1904;RA BR;0;M;0.0;0.38;29.13;29.84;8.1;27;12.3;33;270;25;270
94846;20070516;66;44;55;-4;43;48;10;0;431;1905;RA BR;0;M;0.0;0.14;29.33;30.03;7.8;36;12.2;28;30;23;340
94846;20070517;62;43;53;-6;32;43;12;0;430;1906; ;0;M;0.0;0.00;29.55;30.27;10.5;3;11.3;31;50;23;20
94846;20070518;71;42;57;-3;30;46;8;0;429;1907; ;0;M;0.0;0.00;29.53;M;5.4;25;7.5;20;200;14;230
94846;20070519;80;56;68;8;39;53;0;3;428;1908; ;0;M;0.0;0.00;29.34;30.08;11.1;24;11.4;24;220;21;220
94846;20070520;69;43;56;-5;40;44;9;0;427;1909;RA VCTS;0;M;0.0;0.07;29.38;30.11;10.4;4;10.7;26;70;20;70
