Wban Number, YearMonthDay, Max Temp, Min Temp, Avg Temp, Dep from Normal, Avg Dew Pt, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, Significant Weather, Snow/Ice Depth, Snow/Ice Water Equiv, Precipitation Snowfall, Precipitation Water Equiv, Pressue Avg Station, Pressure Avg Sea Level, Wind Speed, Wind Direction, Wind Avg Speed, Max 5 sec speed, Max 5 sec Dir, Max 2 min speed, Max 2 min Dir
04838,20070213,27,15,  21 ,M   , 17, 20, 44,  0,SN FG+ FG FZFG HZ ,M  ,-,M   , 0.11,29.45,30.21, 15.7,5,17.0, 32,3, 25,3
04838,20070214,20,6,  13 ,M   ,  4, 11, 52,  0,SN FG HZ ,M  ,-,M   ,  T  ,29.49,30.28, 10.7,34,10.8, 21,35, 17,35
04838,20070215,15,0,   8 ,M   , -4,  6, 57,  0,-,M  ,-,M   , 0.00,29.48,30.27,  9.4,30,10.4, 22,30, 17,28
04838,20070216,19,-2,   9 ,M   ,  0,  7, 56,  0,SN FG ,M  ,-,M   ,  T  ,29.21,29.98, 11.7,23,13.0, 29,20, 24,20
04838,20070217,26,16,  21 ,M   , 13, 19, 44,  0,SN FG HZ ,M  ,-,M   ,  T  ,29.13,29.89,  7.8,32, 9.3, 26,33, 20,33
04838,20070218,23,14,  19 ,M   ,  3, 14, 46,  0,-,M  ,-,M   , 0.00,29.37,30.14,  4.7,30, 7.9, 20,32, 16,33
04838,20070219,43,15,  29 ,M   , 22, 29, 36,  0,-,M  ,-,M   , 0.00,28.96,29.71, 12.9,21,13.8, 32,21, 26,21
04838,20070220,46,25,  36*,M   , 28, 32, 29,  0,FG HZ ,M  ,-,M   , 0.00,29.00,29.74,  1.8,31, 3.2, 13,31, 12,33
04838,20070221,49*,21,  35 ,M   , 30, 33, 30,  0,FG HZ ,M  ,-,M   , 0.00,29.09,29.84,  7.5,22, 7.9, 22,23, 16,21
04838,20070222,41,26,  34 ,M   , 23, 30, 31,  0,-,M  ,-,M   , 0.00,29.35,30.10, 14.7,31,15.6, 39,30, 29,31
04838,20070223,31,22,  27 ,M   , 20, 25, 38,  0,SN FG ,M  ,-,M   ,  T  ,29.61,30.38,  6.4,8, 8.2, 21,9, 17,9
04838,20070224,31,26,  29 ,M   , 18, 25, 36,  0,FZRA SN FG+ FG FZFG UP HZ,M  ,-,M   , 0.47,29.32,30.08, 14.0,11,14.2, 32,11, 24,10
04838,20070225,38,30,  34 ,M   , 32, 33, 31,  0,RA FZRA SN FG ,M  ,-,M   , 0.23,28.73,31.93,  8.6,16,11.4, 24,13, 21,19
04838,20070226,33,30,  32 ,M   , 28, 30, 33,  0,SN FG HZ ,M  ,-,M   ,  T  ,28.96,29.83,  9.2,25, 9.2, 21,26, 16,27
04838,20070227,34,29,  32 ,M   , 25, 29, 33,  0,FG HZ ,M  ,-,M   , 0.00,29.29,30.04,  5.5,27, 6.2, 15,30, 12,23
04838,20070228,35,30,  33 ,M   , 27, 30, 32,  0,FG HZ ,M  ,-,M   ,  T  ,29.28,30.02,  7.6,12, 8.4, 22,9, 17,9
14819,20070201,26,13,  20 ,  -5, 13, 19, 45,  0,SN FG HZ ,M  ,-,M   ,  T  ,29.08,29.82, 11.9,25,12.2, 26,23, 21,24
14819,20070202,13,8,  11 , -14, -1,  8, 54,  0,HZ ,M  ,-,M   ,  T  ,29.11,29.87, 13.0,25,13.6, 29,26, 23,25
14819,20070203,12,-5,   4 , -21, -8,  3, 61,  0,-,M  ,-,M   ,  T  ,29.28,30.06, 16.9,25,18.4, 41,27, 32,26
14819,20070204,4,-5,  -1 , -27,-14, -3, 66,  0,-,M  ,-,M   , 0.00,29.56,30.37, 15.0,27,15.5, 29,27, 25,28
14819,20070205,7,-9,  -1*, -27,-16, -3, 66,  0,-,M  ,-,M   , 0.00,29.81,30.60, 10.8,28,11.2, 23,27, 20,30
14819,20070206,10,-4,   3 , -23, -4,  3, 62,  0,SN FG+ FG FZFG HZ ,M  ,-,M   , 0.08,29.52,30.32,  2.1,31, 4.9, 15,31, 14,31
14819,20070207,12,0,   6 , -20, -5,  4, 59,  0,-,M  ,-,M   ,  T  ,29.55,30.34, 10.3,27,11.1, 22,25, 17,25
14819,20070208,12,-3,   5 , -22, -8,  2, 60,  0,-,M  ,-,M   , 0.00,29.56,30.36, 11.4,26,11.9, 22,28, 20,28
14819,20070209,19,2,  11 , -16, -4,  7, 54,  0,-,M  ,-,M   , 0.00,29.55,30.34,  9.1,27, 9.6, 22,29, 17,29
14819,20070210,14,0,   7 , -20, -4,  5, 58,  0,-,M  ,-,M   , 0.00,29.55,30.34, 10.5,26,11.3, 21,29, 17,28
14819,20070211,27,7,  17 , -11,  9, 16, 48,  0,HZ ,M  ,-,M   ,  T  ,29.48,30.25,  8.1,21, 8.8, 18,23, 14,23
14819,20070212,31,25,  28 ,   0, 25, 27, 37,  0,SN FG FZFG HZ ,M  ,-,M   , 0.07,29.47,30.21, 10.8,5,11.2, 26,5, 23,6
14819,20070213,27,19,  23 ,  -5, 18, 20, 42,  0,SN FG FZFG HZ BLSN ,M  ,-,M   , 0.07,29.45,30.18, 21.8,4,22.5, 39,1, 32,2
14819,20070214,22,8,  15 , -13,  7, 14, 50,  0,SN FG FZFG HZ BLSN ,M  ,-,M   ,  T  ,29.48,30.28, 11.1,32,12.1, 29,3, 24,1
14819,20070215,15,3,   9 , -20, -2,  7, 56,  0,-,M  ,-,M   , 0.00,29.49,30.28, 10.7,29,11.7, 22,32, 18,32
14819,20070216,19,-4,   8 , -21,  0,  6, 57,  0,SN FG ,M  ,-,M   ,  T  ,29.25,30.02, 11.9,21,13.1, 32,18, 24,18
14819,20070217,27,17,  22 ,  -7, 14, 19, 43,  0,SN FG FZFG HZ ,M  ,-,M   , 0.05,29.14,29.90,  7.2,31,10.0, 23,30, 18,32
14819,20070218,24,15,  20 , -10,  4, 15, 45,  0,-,M  ,-,M   , 0.00,29.39,30.16,  6.7,28, 9.7, 22,30, 17,30
14819,20070219,43,15,  29 ,  -1, 22, 29, 36,  0,-,M  ,-,M   , 0.00,29.00,29.74, 13.2,19,14.0, 35,19, 23,20
14819,20070220,47,30,  39*,   9, 30, 34, 26,  0,FG HZ ,M  ,-,M   , 0.00,29.01,29.74,  1.9,24, 4.7, 15,23, 13,23
14819,20070221,48*,24,  36 ,   5, 31, 34, 29,  0,FG+ FG FZFG HZ ,M  ,-,M   ,  T  ,29.13,29.86,  7.9,21, 8.5, 23,24, 18,25
14819,20070222,40,28,  34 ,   3, 23, 30, 31,  0,HZ ,M  ,-,M   , 0.00,29.38,30.11, 13.9,29,14.7, 39,27, 29,28
14819,20070223,31,27,  29 ,  -2, 19, 26, 36,  0,-,M  ,-,M   , 0.00,29.63,30.38,  9.9,7,11.5, 25,10, 22,9
14819,20070224,32,26,  29 ,  -3, 17, 25, 36,  0,FZRA SN FG ,M  ,-,M   , 0.45,29.32,30.06, 18.0,9,18.1, 32,8, 26,8
14819,20070225,40,31,  36 ,   4, 34, 34, 29,  0,RA DZ FZRA SN FG ,M  ,-,M   , 0.42,28.77,31.94,  9.6,15,13.2, 30,11, 24,12
